,省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
16,河南省,黄河流域,贾垓桥（张秋）,2021-11-16 16:00:00,Ⅳ,13.1,7.83,4,1626.3,11.9,9.54,0.144,0.194,4.17,*,*,正常
17,河南省,海河流域,南乐元村集,??,,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
18,河南省,海河流域,濮阳西水坡,2021-11-16 16:00:00,Ⅰ,13.6,8.28,10.66,286.7,13.2,1.25,0.025,0.01,1.2,*,*,正常
19,河南省,黄河流域,濮阳大韩桥,2021-11-16 16:00:00,Ⅴ,14.4,8.3,7.65,1368.9,35.3,8.18,2.557,0.202,5.37,*,*,正常
20,河南省,淮河流域,白沙水库,2021-11-16 16:00:00,Ⅱ,15,8.23,10.46,818.7,17.6,3.06,0.025,0.045,9.97,*,*,正常
21,河南省,淮河流域,临颍吴刘闸,2021-11-16 16:00:00,Ⅱ,13.6,8.66,11.54,983.9,9.9,3.01,0.11,0.05,10.5,*,*,正常
22,河南省,淮河流域,召陵武湾（西华程湾）,2021-11-16 16:00:00,Ⅲ,13.1,8.66,10.69,580.8,38.3,3.4,0.18,0.106,2.87,*,*,正常
23,河南省,淮河流域,郾城漯邓桥,2021-11-16 16:00:00,Ⅲ,17.5,7.98,9.07,1430.2,27,3.18,0.385,0.177,6.53,*,*,正常
24,河南省,淮河流域,临颍高村桥,2021-11-16 16:00:00,Ⅱ,15,8.66,9.66,1100.9,21.5,2.33,0.19,0.095,10.08,*,*,正常
25,河南省,淮河流域,舞阳马湾,2021-11-16 16:00:00,Ⅲ,13.2,8.39,10.28,444.7,46.2,4.28,0.12,0.13,3.45,*,*,正常
26,河南省,黄河流域,窄口长桥,2021-11-16 16:00:00,Ⅰ,12.6,8.24,8.98,463.1,6.8,1.42,0.025,0.008,2.46,*,*,正常
27,河南省,黄河流域,三门峡水库,2021-11-16 16:00:00,Ⅱ,9.3,8.16,10.09,907.8,9.2,2,0.057,0.014,4.57,0.006,4461285,正常
28,河南省,长江流域,淅川荆紫关(荆紫关),2021-11-16 12:00:00,Ⅰ,15.3,7.98,9.35,476.1,4.6,1.01,0.062,0.005,4.1,*,*,正常
29,河南省,长江流域,陶岔,2021-11-16 12:00:00,Ⅱ,19.1,7.91,9.12,323.1,4.8,2.82,0.025,0.025,1.44,0.006,350023,正常
30,河南省,长江流域,三道河,2021-11-16 12:00:00,劣Ⅴ,12.9,5.21,9.98,661.1,42.8,0.47,0.085,0.028,3.66,*,*,正常
31,河南省,长江流域,内乡怀乡桥,2021-11-16 16:00:00,Ⅰ,14.2,7.84,10.57,524.8,2.3,1.72,0.025,0.008,5.64,*,*,正常
32,河南省,淮河流域,吕楼桥（颜集）,??,,--,--,--,--,--,--,--,--,--,*,*,维护
33,河南省,淮河流域,黄口,2021-11-16 12:00:00,Ⅲ,13.7,8.5,11.65,2061,44.3,5.85,0.13,0.112,1.96,*,*,正常
34,河南省,淮河流域,睢县板桥,2021-11-16 16:00:00,Ⅳ,14.3,8.27,7.35,1282.1,87.2,6.12,0.46,0.29,7.76,*,*,正常
35,河南省,淮河流域,蒋集,2021-11-16 12:00:00,Ⅱ,18.4,6.98,7.95,242.6,371.6,3.13,0.325,*,*,*,*,正常
36,河南省,淮河流域,长台关甘岸桥,2021-11-16 16:00:00,Ⅱ,16.2,8.76,12.63,320.6,8.9,3.15,0.025,0.022,0.91,*,*,正常
37,河南省,淮河流域,息县大埠口,2021-11-16 12:00:00,Ⅱ,12.9,7.61,9.85,259.1,18.1,2.78,0.057,0.05,1.85,*,*,正常
38,河南省,淮河流域,信阳琵琶山桥,2021-11-16 16:00:00,Ⅲ,16.5,8.61,7.69,552.2,40.7,3.44,0.103,0.136,8.28,*,*,正常
39,河南省,淮河流域,潢川水文站,2021-11-16 16:00:00,Ⅱ,16.2,7.33,8.06,268.5,55.8,2.56,0.025,0.081,2.19,*,*,正常
40,河南省,淮河流域,淮滨北庙,2021-11-16 16:00:00,Ⅱ,16.7,7.23,8.99,247.8,78.3,2.49,0.025,0.066,2.76,*,*,正常
41,河南省,淮河流域,饮用水源地取水口,2021-11-16 16:00:00,Ⅱ,17.6,7.6,7.64,149.4,5.5,3.03,0.027,0.013,0.5,0.012,3589217,正常
42,河南省,淮河流域,大坝北,2021-11-16 16:00:00,Ⅱ,18.4,7.24,6.87,103.1,1.3,1.15,0.025,0.01,0.51,0.001,3182454,正常
43,河南省,淮河流域,竹竿铺,2021-11-16 16:00:00,Ⅱ,15.2,7.84,9.63,229.6,41.1,1.81,0.058,0.084,1.36,*,*,正常
44,河南省,淮河流域,固始马罡,2021-11-16 16:00:00,Ⅱ,16.8,7.5,7.31,260.4,8.7,2.31,0.025,0.034,2.21,*,*,正常
45,河南省,淮河流域,沈丘闸,2021-11-16 12:00:00,Ⅱ,14.7,7.86,9.96,889.5,32,3.26,0.26,*,*,*,*,正常
46,河南省,淮河流域,老沈丘泉河桥（许庄）,2021-11-16 16:00:00,Ⅲ,15.9,8.01,8.64,1058.6,12.2,4.38,0.038,0.19,5.2,*,*,正常
47,河南省,淮河流域,西华大王庄,2021-11-16 16:00:00,劣Ⅴ,13.9,8.11,9.45,912,88.5,6.55,0.14,0.542,11.81,*,*,正常
48,河南省,淮河流域,周口康店,2021-11-16 16:00:00,Ⅳ,15.1,7.84,9.12,857.3,40.9,3.85,0.797,0.178,6.99,*,*,正常
49,河南省,淮河流域,商水双桥,2021-11-16 16:00:00,Ⅱ,14.6,7.87,10.72,1169.3,12.6,2.88,0.452,0.057,7.41,*,*,正常
50,河南省,淮河流域,鄢陵陶城闸,2021-11-16 16:00:00,Ⅲ,14.8,8.24,9.54,1127.6,26.5,3.53,0.3,0.141,9.17,*,*,正常
51,河南省,淮河流域,鹿邑付桥(鹿邑付桥闸),2021-11-16 16:00:00,Ⅳ,15.3,8.29,12.36,984.3,9.2,6.54,0.153,0.072,2.87,*,*,正常
52,河南省,淮河流域,西华址坊,2021-11-16 16:00:00,Ⅲ,14.5,8.88,13.94,969.5,12.2,4.52,0.1,0.079,7.27,*,*,正常
53,河南省,淮河流域,鹿邑宋河桥,2021-11-16 16:00:00,Ⅳ,13.7,8.16,13.35,1513.9,42.4,7.02,0.13,0.106,1.94,*,*,正常
54,河南省,淮河流域,新蔡班台(班台),2021-11-16 12:00:00,Ⅳ,16.7,7.64,8.32,788.9,10.8,3.33,0.13,0.262,3.66,*,*,正常
55,河南省,淮河流域,西平杨庄,2021-11-16 16:00:00,Ⅲ,14.2,7.88,9.27,760,8.5,2.94,0.198,0.127,5.51,*,*,正常
56,河南省,淮河流域,板桥水库,2021-11-16 16:00:00,Ⅱ,14.2,7.54,7.54,254.3,15.9,3.1,0.197,0.105,1.25,*,*,正常
57,河南省,淮河流域,薄山水库,2021-11-16 16:00:00,Ⅱ,17.1,7.78,7.8,304.5,2.9,2.51,0.025,0.012,0.99,*,*,正常
58,河南省,淮河流域,新蔡李桥,2021-11-16 16:00:00,Ⅲ,15.4,8.13,8.95,951.3,16,2.7,0.08,0.146,6.08,*,*,正常
59,河南省,黄河流域,小浪底水库(小浪底),2021-11-16 12:00:00,Ⅱ,15.5,8.24,8.93,711.8,5.1,2.3,0.09,0.005,3.43,*,*,正常
60,河南省,黄河流域,南山,2021-11-16 16:00:00,Ⅱ,15.3,8.14,9.3,776.1,6.5,2.23,0.025,0.019,3.99,0.002,4892865,正常
61,河南省,黄河流域,七里铺,2021-11-16 16:00:00,Ⅳ,12,7.77,8.93,701.2,65.7,2.06,1.138,0.058,6.57,*,*,正常
62,河南省,淮河流域,尖岗水库,2021-11-16 16:00:00,Ⅱ,14.4,8.25,8.43,262.8,14.9,1.5,0.19,0.029,1.1,*,*,正常
63,河南省,淮河流域,新郑黄甫寨,2021-11-16 16:00:00,Ⅱ,14.7,8.33,10.94,890.2,19.8,3.81,0.37,0.058,3.72,*,*,正常
64,北京市,海河流域,大红门闸上,2021-11-16 16:00:00,Ⅲ,20,8.18,10.88,1193.4,4.6,3.11,0.043,0.105,13.45,*,*,正常
65,北京市,海河流域,南大荒桥,2021-11-16 16:00:00,Ⅰ,8.5,8.27,11.57,738.7,5.3,1.72,0.049,0.019,3.61,*,*,正常
66,北京市,海河流域,清河闸,2021-11-16 16:00:00,Ⅱ,14.1,8.07,9.39,997.1,1.7,2.48,0.025,0.034,6.66,*,*,正常
67,北京市,海河流域,花园路,2021-11-16 16:00:00,,14.4,7.68,11.38,517,1.9,1.99,0.035,--,4.52,*,*,维护
68,北京市,海河流域,码头,2021-11-16 16:00:00,Ⅱ,10.2,7.74,9.33,1111.8,36.6,2.3,0.159,0.059,7.01,*,*,正常
69,北京市,海河流域,罗庄,2021-11-16 16:00:00,劣Ⅴ,7.3,8.77,14.11,1208,4.4,4.1,2.341,0.423,9.56,*,*,正常
70,北京市,海河流域,小屯桥,2021-11-16 16:00:00,Ⅴ,7.8,8.16,10.72,1239.6,14.3,5.11,1.532,0.399,9.3,*,*,正常
71,北京市,海河流域,怀柔水库,2021-11-16 16:00:00,Ⅱ,11.4,8.12,10.66,435.4,2.5,2.15,0.025,0.005,2.12,*,*,正常
72,北京市,海河流域,东店,2021-11-16 16:00:00,Ⅱ,9.9,8.27,11.53,517.6,23.5,3.65,0.025,0.052,4.34,*,*,正常
73,北京市,海河流域,密云水库,2021-11-16 16:00:00,Ⅱ,13.2,8.07,9.67,442,2.4,2.6,0.025,0.005,2.61,*,*,正常
74,北京市,海河流域,大关桥,2021-11-16 16:00:00,Ⅱ,13.5,8.24,10.48,397.5,3,2.91,0.025,0.005,2.8,*,*,正常
75,北京市,海河流域,辛庄桥,2021-11-16 16:00:00,Ⅰ,7.2,8.33,11.46,625.9,4.3,1.19,0.025,0.005,10.51,*,*,正常
76,北京市,海河流域,谷家营,2021-11-16 16:00:00,Ⅱ,9.6,8.5,11.1,580.3,10,2.88,0.115,0.052,5.02,*,*,正常
77,北京市,海河流域,后城,2021-11-16 16:00:00,Ⅰ,7.3,8.37,12.1,619,13.7,0.98,0.025,0.005,10.55,*,*,正常
78,北京市,海河流域,鼓楼外大街,2021-11-16 16:00:00,,12.7,8.53,9.75,321.6,3.3,--,0.042,--,--,*,*,维护
79,北京市,海河流域,广北滨河路(桥）,2021-11-16 16:00:00,Ⅱ,10.4,8.39,10.93,568.9,1.9,2.52,0.059,0.026,4.34,*,*,正常
80,北京市,海河流域,沙窝,2021-11-16 16:00:00,Ⅲ,15,7.43,9.98,911.9,9.6,5.04,0.146,0.086,10.58,*,*,正常
81,北京市,海河流域,新八里桥,2021-11-16 16:00:00,Ⅳ,15.4,7.97,10.65,849.5,1.4,6.7,0.031,0.067,11.62,*,*,正常
82,湖北省,长江流域,牛山湖湖心,2021-11-16 16:00:00,Ⅲ,16.7,8.09,9.91,155.4,11.6,2.27,0.025,0.027,1.07,0.009,4726236,正常
83,湖北省,长江流域,西梁子湖湖北,2021-11-16 16:00:00,Ⅲ,17.4,7.23,9.39,146.7,18.6,2.79,0.025,0.025,0.86,0.004,2307275,正常
84,湖北省,长江流域,西梁子湖湖南,2021-11-16 16:00:00,Ⅲ,17.9,7.79,8.95,147.3,24,3.14,0.025,0.031,1.63,0.005,5013347,正常
85,湖北省,长江流域,宗关,2021-11-16 16:00:00,,17.2,7.84,9.46,325,31.1,--,--,--,2.09,0.007,*,维护
86,湖北省,长江流域,杨泗港,2021-11-16 16:00:00,,19,7.78,9.15,363.1,41.3,--,0.025,0.069,1.53,*,*,维护
87,湖北省,长江流域,冯集,2021-11-16 16:00:00,Ⅱ,16.9,8.38,11.7,237.4,11.9,3.21,0.133,0.063,1.6,*,*,正常
88,湖北省,长江流域,龙口,2021-11-16 16:00:00,Ⅲ,18.6,8.84,11.52,259.3,31.6,4.81,0.164,0.013,0.66,*,*,正常
89,湖北省,长江流域,金水闸,2021-11-16 16:00:00,Ⅲ,17.5,8.3,9.21,252.4,117.6,5.54,0.17,0.079,1.81,*,*,正常
90,湖北省,长江流域,郭玉,2021-11-16 16:00:00,Ⅲ,18.2,6.55,6.52,255.5,21.2,4.11,0.982,0.115,4.52,*,*,正常
91,湖北省,长江流域,滠口,2021-11-16 16:00:00,Ⅲ,18.8,8.04,12.22,221.1,28.6,4.4,0.378,0.074,1.38,*,*,正常
92,湖北省,长江流域,港洲村,2021-11-16 12:00:00,Ⅲ,17.9,7.8,5.34,368.5,52.3,4.52,1,0.044,3.34,*,*,正常
93,湖北省,长江流域,太平沙,2021-11-16 16:00:00,Ⅳ,20.4,7.29,6.97,417.8,105.3,5.82,1.359,0.13,3.17,*,*,正常
94,湖北省,长江流域,富池闸,2021-11-16 16:00:00,,19,7.86,8.57,241.2,52.6,--,0.025,0.027,1.35,*,*,维护
95,湖北省,长江流域,夹河口,2021-11-16 16:00:00,Ⅰ,15,8.25,10.92,355.7,3.6,1.24,0.027,0.02,1.88,*,*,正常
96,湖北省,长江流域,天河口,2021-11-16 16:00:00,Ⅱ,13.8,8.43,10.83,444.8,8.6,2.25,0.048,0.037,1.58,*,*,正常
97,湖北省,长江流域,孙家湾,2021-11-16 16:00:00,Ⅱ,17,7.82,9.28,247.8,2.8,2.7,0.086,0.049,1.68,*,*,正常
98,湖北省,长江流域,浪河口,2021-11-16 16:00:00,Ⅱ,16.7,7.79,10.03,206.1,6.5,3.09,0.091,0.017,1.56,*,*,正常
99,湖北省,长江流域,坝上中(胡家岭),2021-11-16 16:00:00,Ⅲ,18.1,7.98,8.37,248.5,7.7,2.37,0.058,0.032,1.51,0.011,11442000,正常
100,湖北省,长江流域,陈家坡,2021-11-16 16:00:00,Ⅱ,15.3,7.73,9.46,275.2,13.8,1.77,0.073,0.035,1.5,*,*,正常
101,湖北省,长江流域,潘口水库坝上,2021-11-16 16:00:00,Ⅱ,18,7.78,7.32,212.4,4,1.16,0.065,0.007,1.04,*,*,正常
102,湖北省,长江流域,剑河口,2021-11-16 16:00:00,Ⅱ,17.5,6.98,6.64,236.9,3.2,2.75,0.139,0.021,1.94,*,*,正常
103,湖北省,长江流域,东湾桥,2021-11-16 16:00:00,Ⅱ,17,7.7,8.4,227.5,7.8,1.32,0.096,0.034,1.47,*,*,正常
104,湖北省,长江流域,泗河口,2021-11-16 12:00:00,Ⅱ,14.9,7.37,7.7,651.4,4.6,3.31,0.311,0.087,8.39,*,*,正常
105,湖北省,长江流域,王河电站,2021-11-16 16:00:00,Ⅱ,13.6,7.74,9.07,420.7,8.6,2.56,0.079,0.054,1.87,*,*,正常
106,湖北省,长江流域,隔河岩水库坝上,2021-11-16 16:00:00,Ⅱ,19,7.3,6.44,261.3,1,0.93,0.025,0.013,2.23,0.008,899694,正常
107,湖北省,长江流域,长沙坝,2021-11-16 12:00:00,Ⅱ,20.7,7.96,7.5,353.7,6.4,1.52,0.025,0.056,1.54,*,*,正常
108,湖北省,长江流域,清江大桥,2021-11-16 16:00:00,Ⅱ,17.7,7.33,7.75,344.8,4.9,0.75,0.085,0.027,2.67,*,*,正常
109,湖北省,长江流域,南津关,2021-11-16 16:00:00,Ⅱ,20,7.62,7.86,388.3,8.7,1.83,0.096,0.045,1.43,0.012,*,正常
110,湖北省,长江流域,马渡河,2021-11-16 16:00:00,Ⅰ,15.2,8.14,13.23,341.4,11.4,1.64,0.043,0.011,1.99,*,*,正常
111,湖北省,长江流域,铁路大桥(小桂林),2021-11-16 16:00:00,Ⅱ,15.9,8.07,13.15,487.8,8.6,1.05,0.036,0.026,1.97,*,*,正常
112,湖北省,长江流域,两河口(草埠湖水厂),2021-11-16 16:00:00,Ⅱ,16.3,7.47,9.64,430.6,10.5,2.43,0.057,0.02,2.08,*,*,正常
113,湖北省,长江流域,桅杆坪,2021-11-16 16:00:00,Ⅱ,18.6,7.49,7.28,272.3,7.1,0.85,0.025,0.018,2.21,*,*,正常
114,湖北省,长江流域,白石港,2021-11-16 16:00:00,Ⅰ,16.7,7.76,9.01,336.4,1.7,1.62,0.025,0.005,1.33,*,*,正常
115,湖北省,长江流域,云池(白洋),2021-11-16 16:00:00,Ⅱ,19.2,7.84,8.39,376.7,32.6,1.4,0.025,0.058,1.69,*,*,正常
116,湖北省,长江流域,翟湾,2021-11-16 16:00:00,Ⅱ,14.4,8.04,11,573.3,50.5,3.94,0.188,0.093,6.67,*,*,正常
117,湖北省,长江流域,埠口,2021-11-16 16:00:00,Ⅲ,14.2,8.21,11.21,665.4,75.3,2.99,0.087,0.115,5.35,*,*,正常
118,湖北省,长江流域,白家湾,2021-11-16 16:00:00,Ⅱ,16.3,7.99,9.6,301.4,11.1,2.5,0.025,0.03,1.36,*,*,正常
119,湖北省,长江流域,聂家滩,2021-11-16 16:00:00,Ⅱ,15.2,7.24,12.24,366.4,5.5,2.25,0.093,0.037,2.48,*,*,正常
120,湖北省,长江流域,汤店,2021-11-16 16:00:00,Ⅲ,14.8,8.01,11.64,643.6,22.6,5.44,0.285,0.06,4.24,*,*,正常
121,湖北省,长江流域,沈湾,2021-11-16 16:00:00,Ⅱ,18.1,7.76,9.23,292.5,15.5,2.24,0.155,0.047,1.44,*,*,正常
122,湖北省,长江流域,朱市,2021-11-16 16:00:00,Ⅱ,14.9,7.9,10.44,641.4,12.9,2.04,0.133,0.066,1.88,*,*,正常
123,湖北省,长江流域,马兰河口,2021-11-16 16:00:00,Ⅰ,12.4,8.03,11.39,378.3,10.6,1.74,0.094,0.016,1.94,*,*,正常
124,湖北省,长江流域,梁子岛水源(七星),2021-11-16 16:00:00,Ⅲ,13.2,7.04,6.99,164.8,38.6,3.63,0.107,0.028,0.1,0.011,52302000,正常
125,湖北省,长江流域,漳河水库库心,2021-11-16 16:00:00,Ⅰ,16.6,8.16,9.64,354.5,1.7,1.55,0.025,0.005,0.64,0.003,9228036,正常
126,湖北省,长江流域,罗汉闸,2021-11-16 16:00:00,Ⅱ,16.5,7.93,9.92,315.3,20.1,2.06,0.042,0.051,2.18,*,*,正常
127,湖北省,长江流域,京山河邓李港,2021-11-16 16:00:00,Ⅱ,17.1,7.75,10.43,355.3,8.4,3.68,0.041,0.066,0.65,*,*,正常
128,湖北省,长江流域,应城公路桥,2021-11-16 16:00:00,Ⅰ,16.4,8.14,11.51,357.2,9,1.89,0.043,0.015,0.51,*,*,正常
129,湖北省,长江流域,田店泵站,2021-11-16 16:00:00,Ⅱ,15.5,8.33,10.3,430.9,2,1.83,0.029,0.045,0.51,*,*,正常
130,湖北省,长江流域,垌冢桥,2021-11-16 12:00:00,Ⅱ,17,7.69,8.57,401,31.5,2.91,0.07,0.08,1.61,*,*,正常
131,湖北省,长江流域,新沟闸,2021-11-16 16:00:00,,18.1,7.41,8.05,679.4,26.4,4.19,0.08,0.091,--,*,*,维护
132,湖北省,长江流域,孝昌王店,2021-11-16 16:00:00,Ⅱ,16.6,7.28,10.54,275.5,18.6,3.48,0.025,0.065,2.64,*,*,正常
133,湖北省,长江流域,孝感河口大桥,2021-11-16 16:00:00,Ⅳ,16.5,7.24,4.55,303.8,36.9,2.87,0.037,0.085,2,*,*,正常
134,湖北省,长江流域,大悟河口,2021-11-16 16:00:00,Ⅱ,16.9,8.96,10.55,290.8,6.9,3.54,0.073,0.059,0.48,*,*,正常
135,湖北省,长江流域,安陆桑树,2021-11-16 16:00:00,Ⅱ,16.1,7.63,11,367.1,13.1,2.35,0.025,0.017,0.07,*,*,正常
136,湖北省,长江流域,鲢鱼地泵站,2021-11-16 16:00:00,Ⅱ,18.8,7.09,8.35,511.2,41.9,3.9,0.069,0.073,3.02,*,*,正常
137,湖北省,长江流域,隔卜桥,2021-11-16 16:00:00,Ⅲ,16.2,7.4,10.01,485.4,19,5.32,0.097,0.057,1.95,*,*,正常
138,湖北省,长江流域,五岭子,2021-11-16 12:00:00,Ⅰ,20.1,8.05,8.21,499.9,19.8,1.62,0.111,*,*,*,*,正常
139,湖北省,长江流域,排水闸,2021-11-16 16:00:00,Ⅳ,17.4,8.36,10.6,361.3,77.9,6.72,0.025,0.083,2.27,0.005,8854738,正常
140,湖北省,长江流域,观音寺,2021-11-16 16:00:00,Ⅱ,18,6.77,8.32,377.4,17.6,1.37,0.025,0.055,1.77,*,*,正常
141,湖北省,长江流域,新刘家台,2021-11-16 12:00:00,Ⅱ,17.6,7.72,8.72,338.8,161.2,2.78,0.128,0.073,2.06,*,*,正常
142,湖北省,长江流域,汉洪大桥,2021-11-16 16:00:00,Ⅱ,18.1,7.58,9.2,383.3,45.7,2.45,0.033,0.069,2.18,*,*,正常
143,湖北省,长江流域,康家岗,2021-11-16 16:00:00,Ⅱ,17,8.93,15.4,363.1,9.6,1.97,0.025,0.046,1.18,*,*,正常
144,湖北省,长江流域,新河村,2021-11-16 12:00:00,Ⅲ,16,7.08,5.23,423.5,34.7,4.37,0.396,0.119,2.32,*,*,正常
145,湖北省,长江流域,新滩,2021-11-16 12:00:00,Ⅴ,17.8,7.27,2.84,415.3,64.9,7.67,0.311,0.138,2.71,*,*,正常
146,湖北省,长江流域,淤泥湖,2021-11-16 16:00:00,Ⅱ,18.4,8.02,9.1,354.2,11.9,0.94,0.025,0.054,1.39,*,*,正常
147,湖北省,长江流域,杨家垱,2021-11-16 16:00:00,Ⅱ,19,7.86,10.05,357.4,14.5,1.68,0.025,0.053,1.86,*,*,正常
148,湖北省,长江流域,柳口,2021-11-16 16:00:00,Ⅱ,20.2,7.6,10.39,355.4,11.9,1.49,0.025,0.059,1.26,*,*,正常
149,湖北省,长江流域,调关,2021-11-16 16:00:00,Ⅱ,19,7.79,9.39,360.7,14.1,1.72,0.025,0.055,1.47,*,*,正常
150,湖北省,长江流域,乌溪沟,2021-11-16 16:00:00,Ⅱ,15.2,8.22,8.96,329.1,6.6,0.93,0.068,0.061,3.06,*,*,正常
151,湖北省,长江流域,陶冲村,2021-11-16 12:00:00,Ⅰ,15.8,8.02,11.17,125.9,2.3,0.41,0.025,*,*,*,*,正常
152,湖北省,长江流域,周八家,2021-11-16 16:00:00,Ⅰ,14.7,8.77,15.11,240.4,1.5,0.52,0.078,*,*,*,*,正常
153,湖北省,长江流域,库坝上,2021-11-16 16:00:00,Ⅲ,20.2,7.26,8.42,110.6,1.3,2.27,0.025,0.038,0.62,0.007,*,正常
154,湖北省,长江流域,巴河镇河口,2021-11-16 12:00:00,Ⅱ,17.9,6.69,6.85,183,17.1,2.44,0.043,0.053,1.3,*,*,正常
155,湖北省,长江流域,麻城许家湾,??,,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
156,湖北省,长江流域,西河驿,2021-11-16 12:00:00,Ⅱ,16.2,7.29,8.95,179.1,61.2,1.91,0.059,0.093,0.95,*,*,正常
157,湖北省,长江流域,兰溪大桥,2021-11-16 12:00:00,Ⅱ,18.1,7.03,6.63,181.6,21,3.34,0.025,0.072,1.95,*,*,正常
158,湖北省,长江流域,中官铺,2021-11-16 16:00:00,Ⅱ,20.8,7.72,8.24,324.1,46.3,2.28,0.025,0.074,1.6,*,*,正常
159,湖北省,长江流域,咸宁湖心,2021-11-16 12:00:00,Ⅱ,16.5,8.9,15.71,252.8,14.5,3.5,0.025,0.023,1.13,0.015,24095870,正常
160,湖北省,长江流域,富水水库,2021-11-16 16:00:00,Ⅱ,19.8,7.29,7.92,186.3,1.3,1.67,0.046,0.013,0.65,0.01,44467000,正常
161,湖北省,长江流域,窑嘴大桥,2021-11-16 16:00:00,Ⅲ,19.4,7.38,6.6,307.9,22.6,2.3,0.167,0.108,3.36,*,*,正常
162,湖北省,长江流域,洪下水文站,2021-11-16 16:00:00,Ⅱ,16.3,7.63,10,214.7,4.4,2.99,0.199,0.091,2.8,*,*,正常
163,湖北省,长江流域,厉山,2021-11-16 16:00:00,Ⅱ,16.6,8.4,13.51,375.7,3.2,2.5,0.04,0.069,2.36,*,*,正常
164,湖北省,长江流域,涢水大桥,2021-11-16 16:00:00,Ⅱ,14.4,8.22,11.24,362.2,7.8,2.86,0.136,0.035,0.97,*,*,正常
165,湖北省,长江流域,江口村,2021-11-16 16:00:00,Ⅰ,17.6,8.26,8.79,200.8,2.1,1.14,0.025,0.005,1.18,*,*,正常
166,湖北省,长江流域,恩施大沙坝,2021-11-16 16:00:00,Ⅲ,15,7.79,5.97,474.8,2.6,1.18,0.102,0.121,3.7,*,*,正常
167,湖北省,长江流域,七要口,2021-11-16 16:00:00,Ⅱ,12,8.21,10.8,396.1,9.1,0.97,0.025,0.049,3.13,*,*,正常
168,湖北省,长江流域,周家坝,2021-11-16 16:00:00,Ⅰ,17.4,7.54,8.71,246.2,5.3,1.07,0.025,0.014,1.77,*,*,正常
169,湖北省,长江流域,百福司镇,2021-11-16 12:00:00,,17.9,7.43,7.13,259.9,2.8,--,0.025,0.022,1.28,*,*,维护
170,湖北省,长江流域,长顺乡,2021-11-16 12:00:00,Ⅰ,15.7,7.97,10.5,229.3,6,0.6,0.025,0.017,1.1,*,*,正常
